class,ag_004,ah_000,av_000,ay_008,az_001,ba_008,bk_000,bs_000,ca_000,cg_000,cm_000,cs_004,cv_000,de_000,do_000
0,neg,37250.0,2551696.0,1012.0,755876.0,2108.0,0.0,330760.0,178540.0,54064.0,96.0,1924.0,428776.0,4122704.0,1126.0,85908.0
2,neg,1648.0,1234132.0,358.0,1450312.0,1156.0,46.0,137160.0,28000.0,22436.0,124.0,0.0,100326.0,2180528.0,152.0,38182.0
4,neg,43752.0,1974038.0,1788.0,584074.0,362.0,19292.0,306780.0,189000.0,61844.0,152.0,746.0,186242.0,3440288.0,444.0,62648.0
5,neg,9128.0,1087760.0,1142.0,447274.0,680.0,3362.0,186500.0,55280.0,30254.0,50.0,404.0,95538.0,2028182.0,44.0,73432.0
7,neg,2130.0,2738458.0,182.0,517638.0,6406.0,4.0,214220.0,137860.0,67254.0,116.0,1394.0,126308.0,5479566.0,362.0,167572.0
10,neg,4352.0,1055746.0,226.0,0.0,396.0,9650.0,183900.0,20260.0,7848.0,132.0,0.0,136420.0,1917066.0,240.0,27586.0
11,neg,2106.0,1434684.0,0.0,154154.0,974.0,0.0,284920.0,48400.0,26010.0,66.0,0.0,181030.0,1489428.0,0.0,0.0
13,neg,40932.0,3466260.0,5480.0,351992.0,25194.0,650.0,266200.0,9140.0,113060.0,246.0,0.0,538866.0,3338886.0,606.0,251192.0
16,neg,847078.0,4730560.0,1736.0,8790434.0,2952.0,9168.0,193360.0,720.0,118688.0,586.0,1368.0,1358728.0,4865556.0,4492.0,352.0
20,neg,9268.0,1027430.0,148.0,1500178.0,1200.0,51000.0,301120.0,100380.0,38044.0,78.0,514.0,373006.0,2084430.0,1592.0,8576.0
22,neg,26568.0,5287200.0,630.0,4.0,2232.0,0.0,357440.0,121320.0,37328.0,126.0,2246.0,565406.0,7679864.0,528.0,191350.0
24,neg,127148.0,1706406.0,4258.0,620892.0,1600.0,0.0,150820.0,113420.0,92176.0,162.0,0.0,239764.0,3589534.0,884.0,59414.0
27,neg,55002.0,1453404.0,720.0,782254.0,1248.0,0.0,224460.0,8460.0,118066.0,84.0,0.0,132468.0,2748172.0,268.0,39110.0
30,neg,16634.0,2534762.0,432.0,1867084.0,1222.0,66.0,152020.0,162800.0,96064.0,134.0,0.0,210782.0,4822618.0,286.0,113370.0
33,neg,1006.0,1411706.0,528.0,773868.0,524.0,0.0,179260.0,151680.0,80060.0,138.0,0.0,111372.0,2692602.0,718.0,51358.0
36,neg,19366.0,2143584.0,2556.0,277290.0,592.0,0.0,150100.0,22060.0,12348.0,86.0,868.0,325072.0,3902480.0,406.0,53696.0
39,neg,30598.0,968192.0,328.0,924442.0,344.0,25170.0,176380.0,123940.0,83598.0,56.0,204.0,63064.0,1691962.0,1234.0,6016.0
44,neg,0.0,2316568.0,1358.0,0.0,0.0,0.0,123800.0,52320.0,37558.0,106.0,0.0,0.0,4394710.0,368.0,50456.0
46,neg,361634.0,2477082.0,468.0,684880.0,336.0,0.0,173360.0,5960.0,120422.0,94.0,0.0,310818.0,4801618.0,496.0,88626.0
48,neg,686.0,1260482.0,1006.0,1054.0,1588.0,0.0,279220.0,117440.0,43176.0,58.0,622.0,113228.0,2272004.0,74.0,27718.0
49,neg,270.0,1665234.0,260.0,660778.0,916.0,0.0,133320.0,114320.0,72388.0,42.0,0.0,153878.0,3736950.0,134.0,42190.0
52,neg,2634.0,1069572.0,1686.0,2.0,2536.0,0.0,253220.0,9340.0,2002.0,42.0,0.0,135154.0,1971800.0,370.0,15160.0
53,neg,16.0,1652.0,6.0,3920.0,6.0,0.0,1310700.0,15100.0,1856.0,6.0,12.0,10.0,1218.0,36.0,0.0
55,neg,126446.0,1172194.0,172.0,1516.0,1982.0,72378.0,206360.0,31820.0,16838.0,58.0,490.0,69252.0,2213758.0,92.0,35362.0
64,neg,276.0,950426.0,3628.0,416058.0,1708.0,0.0,212760.0,167900.0,110442.0,56.0,0.0,146684.0,554676.0,390.0,26134.0
65,neg,54346.0,1147002.0,382.0,1154958.0,578.0,104.0,226140.0,95080.0,46854.0,44.0,416.0,104188.0,2219842.0,134.0,21864.0
66,neg,830.0,1044476.0,1266.0,1160.0,2176.0,172.0,206060.0,79400.0,36430.0,76.0,518.0,237956.0,492804.0,486.0,30548.0
69,neg,1014.0,1257522.0,11344.0,1092.0,2246.0,0.0,184000.0,78120.0,45882.0,354.0,746.0,170182.0,403662.0,140.0,920.0
70,neg,1402.0,1303214.0,734.0,343504.0,2832.0,0.0,175140.0,93580.0,53796.0,64.0,438.0,57880.0,2514012.0,120.0,53588.0
73,neg,17102.0,2793604.0,1882.0,12.0,1424.0,0.0,316000.0,216540.0,66550.0,208.0,696.0,296508.0,5179266.0,880.0,87910.0
75,neg,1918.0,2057520.0,248.0,698730.0,754.0,0.0,135580.0,49040.0,50398.0,124.0,0.0,380048.0,3809256.0,148.0,80758.0
76,neg,5082.0,881060.0,3072.0,73112.0,758.0,526.0,229440.0,162460.0,83444.0,70.0,0.0,76958.0,1173450.0,152.0,29364.0
79,neg,140720.0,1301482.0,396.0,186094.0,588.0,21880.0,154840.0,126200.0,91806.0,70.0,0.0,110482.0,2561866.0,158.0,40818.0
80,neg,600.0,1236554.0,1062.0,1227668.0,376.0,0.0,120680.0,54740.0,52928.0,62.0,320.0,262248.0,2276144.0,148.0,18568.0
91,neg,29700.0,581450.0,256.0,602198.0,262.0,10628.0,115800.0,26040.0,29978.0,40.0,176.0,62176.0,1113448.0,202.0,200.0
95,neg,722.0,1245216.0,306.0,368966.0,658.0,94.0,151800.0,11140.0,7546.0,134.0,0.0,105020.0,1633124.0,216.0,32356.0
99,neg,438.0,943092.0,264.0,212894.0,3330.0,9792.0,207760.0,24060.0,12802.0,80.0,0.0,100882.0,1746362.0,42.0,25452.0
101,neg,468.0,2262820.0,2502.0,2155258.0,658.0,23770.0,329540.0,76540.0,29928.0,130.0,818.0,216730.0,3864786.0,278.0,34036.0
106,neg,60908.0,1363964.0,332.0,2185324.0,4334.0,31268.0,367120.0,9560.0,1818.0,0.0,832.0,2577022.0,0.0,268.0,21068.0
112,neg,51832.0,1463386.0,468.0,1265578.0,274.0,0.0,158360.0,1680.0,118438.0,126.0,0.0,120286.0,2992364.0,58.0,48844.0
113,neg,142.0,1138936.0,300.0,13520.0,772.0,0.0,172900.0,22720.0,19866.0,64.0,0.0,185316.0,2163260.0,182.0,27186.0
114,neg,6090.0,1078012.0,168.0,295934.0,8130.0,1618.0,138120.0,28320.0,19942.0,154.0,0.0,122410.0,1492884.0,152.0,40062.0
118,neg,390.0,1040584.0,598.0,12030.0,994.0,6.0,139020.0,143460.0,116448.0,58.0,466.0,120448.0,1540740.0,164.0,7986.0
123,neg,297400.0,1982426.0,1776.0,1999744.0,570.0,0.0,299100.0,2080.0,112174.0,126.0,0.0,190586.0,2729116.0,1514.0,58384.0
124,neg,0.0,2128138.0,2046.0,0.0,0.0,0.0,107960.0,15160.0,6904.0,0.0,0.0,0.0,0.0,4996.0,4104.0
128,neg,152.0,2698058.0,664.0,2074252.0,2296.0,110.0,226960.0,249040.0,59440.0,128.0,1610.0,236436.0,5276888.0,260.0,115110.0
138,neg,3256.0,1996744.0,7046.0,2318140.0,12526.0,0.0,340460.0,339680.0,98980.0,116.0,0.0,436506.0,3702278.0,1296.0,17276.0
148,neg,196.0,1253944.0,238.0,1856248.0,470.0,0.0,135820.0,27140.0,25244.0,174.0,0.0,133034.0,2280140.0,194.0,19672.0
149,neg,304.0,854172.0,620.0,0.0,982.0,1212.0,209040.0,132300.0,96900.0,80.0,0.0,101396.0,1804890.0,186.0,10412.0
