class,ac_000,ag_006,ah_000,ay_006,ay_008,az_004,cd_000,cs_006,cv_000,du_000,eb_000
0,neg,2130706438.0,3664156.0,2551696.0,4239660.0,755876.0,615248.0,1209600.0,895240.0,4122704.0,14745580.0,2801180.0
2,neg,228.0,1883374.0,1234132.0,870456.0,1450312.0,1811606.0,1209600.0,488302.0,2180528.0,300240.0,1040120.0
4,neg,1368.0,1800340.0,1974038.0,2128914.0,584074.0,30194.0,1209600.0,1137268.0,3440288.0,457040.0,21173050.0
5,neg,2130706432.0,1462836.0,1087760.0,1160742.0,447274.0,42450.0,1209600.0,443538.0,2028182.0,10244700.0,0.0
7,neg,2130706432.0,4227340.0,2738458.0,1558518.0,517638.0,427644.0,1209600.0,1138924.0,5479566.0,14438160.0,3537310.0
10,neg,204.0,1532850.0,1055746.0,2241184.0,0.0,1515424.0,1209600.0,909048.0,1917066.0,383960.0,9195680.0
11,neg,0.0,2217344.0,1434684.0,2209356.0,154154.0,2616324.0,1209600.0,706206.0,1489428.0,0.0,0.0
13,neg,1390.0,4867618.0,3466260.0,3493752.0,351992.0,6201838.0,1209600.0,1014482.0,3338886.0,72880120.0,2740890.0
16,neg,784.0,2645236.0,4730560.0,0.0,8790434.0,1136152.0,1209600.0,1185462.0,4865556.0,12920.0,0.0
20,neg,2130706434.0,881214.0,1027430.0,22990.0,1500178.0,47486.0,1209600.0,18804.0,2084430.0,12170880.0,1212960.0
22,neg,2130706456.0,6199744.0,5287200.0,8248804.0,4.0,388200.0,1209600.0,2141262.0,7679864.0,36430720.0,0.0
24,neg,2130706432.0,2025598.0,1706406.0,1951726.0,620892.0,2301308.0,1209600.0,597308.0,3589534.0,11254060.0,19102180.0
27,neg,334.0,1548098.0,1453404.0,1764548.0,782254.0,2165686.0,1209600.0,755182.0,2748172.0,19420.0,45978820.0
30,neg,152.0,3317610.0,2534762.0,2577892.0,1867084.0,4465908.0,1209600.0,1421536.0,4822618.0,491660.0,19451110.0
33,neg,696.0,2077048.0,1411706.0,1249744.0,773868.0,2419826.0,1209600.0,1153392.0,2692602.0,122460.0,4839960.0
36,neg,2130706442.0,2991472.0,2143584.0,2127004.0,277290.0,68430.0,1209600.0,707374.0,3902480.0,6515380.0,9178470.0
39,neg,308.0,789472.0,968192.0,6084.0,924442.0,44382.0,1209600.0,113632.0,1691962.0,9980.0,15253200.0
44,neg,2130706434.0,0.0,2316568.0,0.0,0.0,0.0,1209600.0,0.0,4394710.0,13206620.0,4175590.0
46,neg,1684.0,2394010.0,2477082.0,3346356.0,684880.0,3398910.0,1209600.0,485256.0,4801618.0,1471640.0,22400910.0
48,neg,2130706432.0,1881036.0,1260482.0,547186.0,1054.0,99288.0,1209600.0,785662.0,2272004.0,4011360.0,1664720.0
49,neg,218.0,2715688.0,1665234.0,980252.0,660778.0,2280770.0,1209600.0,457954.0,3736950.0,19280.0,29771020.0
52,neg,1340.0,1330714.0,1069572.0,802090.0,2.0,1785642.0,1209600.0,365782.0,1971800.0,9140.0,1370640.0
53,neg,0.0,2328.0,1652.0,0.0,3920.0,24.0,1209600.0,2078.0,1218.0,1440.0,0.0
55,neg,2130706434.0,491680.0,1172194.0,878186.0,1516.0,269882.0,1209600.0,1207408.0,2213758.0,6846080.0,688670.0
64,neg,1484.0,1174032.0,950426.0,1662200.0,416058.0,29706.0,1209600.0,477444.0,554676.0,1753380.0,182560.0
65,neg,2130706434.0,1082598.0,1147002.0,884950.0,1154958.0,41558.0,1209600.0,1010974.0,2219842.0,6521660.0,3825250.0
66,neg,2130706440.0,1441030.0,1044476.0,2112532.0,1160.0,137146.0,1209600.0,750314.0,492804.0,8919380.0,28793060.0
69,neg,3786.0,1941584.0,1257522.0,2540442.0,1092.0,17140.0,1209600.0,644074.0,403662.0,4386320.0,1388600.0
70,neg,2130706432.0,1910402.0,1303214.0,1786012.0,343504.0,98530.0,1209600.0,794692.0,2514012.0,9313680.0,6328810.0
73,neg,2130706444.0,3914914.0,2793604.0,6293638.0,12.0,61700.0,1209600.0,1106584.0,5179266.0,21840500.0,303700.0
75,neg,134.0,2981746.0,2057520.0,1809188.0,698730.0,3974504.0,1209600.0,691556.0,3809256.0,755700.0,2895910.0
76,neg,1270.0,977934.0,881060.0,1608002.0,73112.0,1178926.0,1209600.0,420900.0,1173450.0,747280.0,1151320.0
